(2, 9, -9)
(2, 9, -7)
(2, 9, -5)
(2, 9, -3)
(2, 9, -1)
(2, 9, 1)
(2, 9, 3)
(2, 9, 5)
(2, 9, 7)
(2, 9, 9)
(2, 7, -9)
(2, 7, -7)
(2, 7, -5)
(2, 7, -3)
(2, 7, -1)
(2, 7, 1)
(2, 7, 3)
(2, 7, 5)
(2, 7, 7)
(2, 7, 9)
(2, 5, -9)
(2, 5, -7)
(2, 5, -5)
(2, 5, -3)
(2, 5, -1)
(2, 5, 1)
(2, 5, 3)
(2, 5, 5)
(2, 5, 7)
(2, 5, 9)
(2, 3, -9)
(2, 3, -7)
(2, 3, -5)
(2, 3, -3)
(2, 3, -1)
(2, 3, 1)
(2, 3, 3)
(2, 3, 5)
(2, 3, 7)
(2, 3, 9)
(2, 1, -9)
(2, 1, -7)
(2, 1, -5)
(2, 1, -3)
(2, 1, -1)
(2, 1, 1)
(2, 1, 3)
(2, 1, 5)
(2, 1, 7)
(2, 1, 9)
(2, -1, -9)
(2, -1, -7)
(2, -1, -5)
(2, -1, -3)
(2, -1, -1)
(2, -1, 1)
(2, -1, 3)
(2, -1, 5)
(2, -1, 7)
(2, -1, 9)
(2, -3, -9)
(2, -3, -7)
(2, -3, -5)
(2, -3, -3)
(2, -3, -1)
(2, -3, 1)
(2, -3, 3)
(2, -3, 5)
(2, -3, 7)
(2, -3, 9)
(2, -5, -9)
(2, -5, -7)
(2, -5, -5)
(2, -5, -3)
(2, -5, -1)
(2, -5, 1)
(2, -5, 3)
(2, -5, 5)
(2, -5, 7)
(2, -5, 9)
(2, -7, -9)
(2, -7, -7)
(2, -7, -5)
(2, -7, -3)
(2, -7, -1)
(2, -7, 1)
(2, -7, 3)
(2, -7, 5)
(2, -7, 7)
(2, -7, 9)
(2, -9, -9)
(2, -9, -7)
(2, -9, -5)
(2, -9, -3)
(2, -9, -1)
(2, -9, 1)
(2, -9, 3)
(2, -9, 5)
(2, -9, 7)
(2, -9, 9)
