(0.163846, 0.737309, -0.655386)
(0.181818, 0.818182, -0.545455)
(0.199007, 0.895533, -0.398015)
(0.212, 0.953998, -0.212)
(0.21693, 0.976187, 0)
(0.212, 0.953998, 0.212)
(0.199007, 0.895533, 0.398015)
(0.181818, 0.818182, 0.545455)
(0.163846, 0.737309, 0.655386)
(0.147043, 0.661693, 0.735215)
(0.132164, 0.594737, 0.792982)
(0.1849, 0.64715, -0.7396)
(0.212, 0.741999, -0.635999)
(0.240772, 0.842701, -0.481543)
(0.264906, 0.927173, -0.264906)
(0.274721, 0.961524, 0)
(0.264906, 0.927173, 0.264906)
(0.240772, 0.842701, 0.481543)
(0.212, 0.741999, 0.635999)
(0.1849, 0.64715, 0.7396)
(0.16169, 0.565916, 0.808452)
(0.142494, 0.498729, 0.854965)
(0.20739, 0.518476, -0.829561)
(0.248069, 0.620174, -0.744208)
(0.298142, 0.745356, -0.596285)
(0.348155, 0.870388, -0.348155)
(0.371391, 0.928477, 0)
(0.348155, 0.870388, 0.348155)
(0.298142, 0.745356, 0.596285)
(0.248069, 0.620174, 0.744208)
(0.20739, 0.518476, 0.829561)
(0.17609, 0.440225, 0.880451)
(0.152057, 0.380143, 0.912343)
(0.227921, 0.341882, -0.911685)
(0.285714, 0.428571, -0.857143)
(0.371391, 0.557086, -0.742781)
(0.485071, 0.727607, -0.485071)
(0.5547, 0.83205, 0)
(0.485071, 0.727607, 0.485071)
(0.371391, 0.557086, 0.742781)
(0.285714, 0.428571, 0.857143)
(0.227921, 0.341882, 0.911685)
(0.188144, 0.282216, 0.940721)
(0.159617, 0.239426, 0.957704)
(0.240772, 0.120386, -0.963087)
(0.312348, 0.156174, -0.937043)
(0.436436, 0.218218, -0.872872)
(0.666667, 0.333333, -0.666667)
(0.894427, 0.447214, 0)
(0.666667, 0.333333, 0.666667)
(0.436436, 0.218218, 0.872872)
(0.312348, 0.156174, 0.937043)
(0.240772, 0.120386, 0.963087)
(0.19518, 0.09759, 0.9759)
(0.163846, 0.0819232, 0.983078)
(0.240772, -0.120386, -0.963087)
(0.312348, -0.156174, -0.937043)
(0.436436, -0.218218, -0.872872)
(0.666667, -0.333333, -0.666667)
(0.894427, -0.447214, 0)
(0.666667, -0.333333, 0.666667)
(0.436436, -0.218218, 0.872872)
(0.312348, -0.156174, 0.937043)
(0.240772, -0.120386, 0.963087)
(0.19518, -0.09759, 0.9759)
(0.163846, -0.0819232, 0.983078)
(0.227921, -0.341882, -0.911685)
(0.285714, -0.428571, -0.857143)
(0.371391, -0.557086, -0.742781)
(0.485071, -0.727607, -0.485071)
(0.5547, -0.83205, 0)
(0.485071, -0.727607, 0.485071)
(0.371391, -0.557086, 0.742781)
(0.285714, -0.428571, 0.857143)
(0.227921, -0.341882, 0.911685)
(0.188144, -0.282216, 0.940721)
(0.159617, -0.239426, 0.957704)
(0.20739, -0.518476, -0.829561)
(0.248069, -0.620174, -0.744208)
(0.298142, -0.745356, -0.596285)
(0.348155, -0.870388, -0.348155)
(0.371391, -0.928477, 0)
(0.348155, -0.870388, 0.348155)
(0.298142, -0.745356, 0.596285)
(0.248069, -0.620174, 0.744208)
(0.20739, -0.518476, 0.829561)
(0.17609, -0.440225, 0.880451)
(0.152057, -0.380143, 0.912343)
(0.1849, -0.64715, -0.7396)
(0.212, -0.741999, -0.635999)
(0.240772, -0.842701, -0.481543)
(0.264906, -0.927173, -0.264906)
(0.274721, -0.961524, 0)
(0.264906, -0.927173, 0.264906)
(0.240772, -0.842701, 0.481543)
(0.212, -0.741999, 0.635999)
(0.1849, -0.64715, 0.7396)
(0.16169, -0.565916, 0.808452)
(0.142494, -0.498729, 0.854965)
(0.163846, -0.737309, -0.655386)
(0.181818, -0.818182, -0.545455)
(0.199007, -0.895533, -0.398015)
(0.212, -0.953998, -0.212)
(0.21693, -0.976187, 0)
(0.212, -0.953998, 0.212)
(0.199007, -0.895533, 0.398015)
(0.181818, -0.818182, 0.545455)
(0.163846, -0.737309, 0.655386)
(0.147043, -0.661693, 0.735215)
(0.132164, -0.594737, 0.792982)
(0.145479, -0.800132, -0.581914)
(0.157622, -0.866921, -0.472866)
(0.16843, -0.926367, -0.336861)
(0.17609, -0.968496, -0.17609)
(0.178885, -0.98387, 0)
(0.17609, -0.968496, 0.17609)
(0.16843, -0.926367, 0.336861)
(0.157622, -0.866921, 0.472866)
(0.145479, -0.800132, 0.581914)
(0.133333, -0.733333, 0.666667)
(0.121942, -0.670682, 0.731653)
